sentences/sentence/0/text,sentences/sentence/0/Opinions/Opinion/0/_target,sentences/sentence/0/Opinions/Opinion/0/_category,sentences/sentence/0/Opinions/Opinion/0/_polarity,sentences/sentence/0/Opinions/Opinion/0/_from,sentences/sentence/0/Opinions/Opinion/0/_to,sentences/sentence/0/_id,_rid,sentences/sentence/0/Opinions/Opinion/1/_target,sentences/sentence/0/Opinions/Opinion/1/_category,sentences/sentence/0/Opinions/Opinion/1/_polarity,sentences/sentence/0/Opinions/Opinion/1/_from,sentences/sentence/0/Opinions/Opinion/1/_to,sentences/sentence/1/text,sentences/sentence/1/Opinions/Opinion/0/_target,sentences/sentence/1/Opinions/Opinion/0/_category,sentences/sentence/1/Opinions/Opinion/0/_polarity,sentences/sentence/1/Opinions/Opinion/0/_from,sentences/sentence/1/Opinions/Opinion/0/_to,sentences/sentence/1/_id,sentences/sentence/2/text,sentences/sentence/2/Opinions/Opinion/0/_target,sentences/sentence/2/Opinions/Opinion/0/_category,sentences/sentence/2/Opinions/Opinion/0/_polarity,sentences/sentence/2/Opinions/Opinion/0/_from,sentences/sentence/2/Opinions/Opinion/0/_to,sentences/sentence/2/_id,sentences/sentence/3/text,sentences/sentence/3/Opinions/Opinion/0/_target,sentences/sentence/3/Opinions/Opinion/0/_category,sentences/sentence/3/Opinions/Opinion/0/_polarity,sentences/sentence/3/Opinions/Opinion/0/_from,sentences/sentence/3/Opinions/Opinion/0/_to,sentences/sentence/3/_id,sentences/sentence/1/Opinions/Opinion/1/_target,sentences/sentence/1/Opinions/Opinion/1/_category,sentences/sentence/1/Opinions/Opinion/1/_polarity,sentences/sentence/1/Opinions/Opinion/1/_from,sentences/sentence/1/Opinions/Opinion/1/_to,sentences/sentence/0/Opinions/Opinion/2/_target,sentences/sentence/0/Opinions/Opinion/2/_category,sentences/sentence/0/Opinions/Opinion/2/_polarity,sentences/sentence/0/Opinions/Opinion/2/_from,sentences/sentence/0/Opinions/Opinion/2/_to,sentences/sentence/0/Opinions/Opinion/3/_target,sentences/sentence/0/Opinions/Opinion/3/_category,sentences/sentence/0/Opinions/Opinion/3/_polarity,sentences/sentence/0/Opinions/Opinion/3/_from,sentences/sentence/0/Opinions/Opinion/3/_to,sentences/sentence/2/Opinions/Opinion/1/_target,sentences/sentence/2/Opinions/Opinion/1/_category,sentences/sentence/2/Opinions/Opinion/1/_polarity,sentences/sentence/2/Opinions/Opinion/1/_from,sentences/sentence/2/Opinions/Opinion/1/_to,sentences/sentence/1/Opinions/Opinion/2/_target,sentences/sentence/1/Opinions/Opinion/2/_category,sentences/sentence/1/Opinions/Opinion/2/_polarity,sentences/sentence/1/Opinions/Opinion/2/_from,sentences/sentence/1/Opinions/Opinion/2/_to,sentences/sentence/3/Opinions/Opinion/1/_target,sentences/sentence/3/Opinions/Opinion/1/_category,sentences/sentence/3/Opinions/Opinion/1/_polarity,sentences/sentence/3/Opinions/Opinion/1/_from,sentences/sentence/3/Opinions/Opinion/1/_to,sentences/sentence/4/text,sentences/sentence/4/Opinions/Opinion/0/_target,sentences/sentence/4/Opinions/Opinion/0/_category,sentences/sentence/4/Opinions/Opinion/0/_polarity,sentences/sentence/4/Opinions/Opinion/0/_from,sentences/sentence/4/Opinions/Opinion/0/_to,sentences/sentence/4/_id,sentences/sentence/5/text,sentences/sentence/5/Opinions/Opinion/0/_target,sentences/sentence/5/Opinions/Opinion/0/_category,sentences/sentence/5/Opinions/Opinion/0/_polarity,sentences/sentence/5/Opinions/Opinion/0/_from,sentences/sentence/5/Opinions/Opinion/0/_to,sentences/sentence/5/_id,sentences/sentence/6/text,sentences/sentence/6/Opinions/Opinion/0/_target,sentences/sentence/6/Opinions/Opinion/0/_category,sentences/sentence/6/Opinions/Opinion/0/_polarity,sentences/sentence/6/Opinions/Opinion/0/_from,sentences/sentence/6/Opinions/Opinion/0/_to,sentences/sentence/6/_id,sentences/sentence/0/Opinions/Opinion/4/_target,sentences/sentence/0/Opinions/Opinion/4/_category,sentences/sentence/0/Opinions/Opinion/4/_polarity,sentences/sentence/0/Opinions/Opinion/4/_from,sentences/sentence/0/Opinions/Opinion/4/_to,sentences/sentence/0/Opinions/Opinion/5/_target,sentences/sentence/0/Opinions/Opinion/5/_category,sentences/sentence/0/Opinions/Opinion/5/_polarity,sentences/sentence/0/Opinions/Opinion/5/_from,sentences/sentence/0/Opinions/Opinion/5/_to,sentences/sentence/0/Opinions/Opinion/6/_target,sentences/sentence/0/Opinions/Opinion/6/_category,sentences/sentence/0/Opinions/Opinion/6/_polarity,sentences/sentence/0/Opinions/Opinion/6/_from,sentences/sentence/0/Opinions/Opinion/6/_to,sentences/sentence/1/Opinions/Opinion/3/_target,sentences/sentence/1/Opinions/Opinion/3/_category,sentences/sentence/1/Opinions/Opinion/3/_polarity,sentences/sentence/1/Opinions/Opinion/3/_from,sentences/sentence/1/Opinions/Opinion/3/_to,sentences/sentence/2/Opinions/Opinion/2/_target,sentences/sentence/2/Opinions/Opinion/2/_category,sentences/sentence/2/Opinions/Opinion/2/_polarity,sentences/sentence/2/Opinions/Opinion/2/_from,sentences/sentence/2/Opinions/Opinion/2/_to,sentences/sentence/2/Opinions/Opinion/3/_target,sentences/sentence/2/Opinions/Opinion/3/_category,sentences/sentence/2/Opinions/Opinion/3/_polarity,sentences/sentence/2/Opinions/Opinion/3/_from,sentences/sentence/2/Opinions/Opinion/3/_to
Great service and coffee.,service,SERVICE#GENERAL,positive,6,13,105:0,105,coffee,DRINKS#QUALITY,positive,18,24,"Often crowded and few tables, but cozy.",tables,AMBIENCE#GENERAL,negative,22,28,105:1,,,,,,,,,,,,,,,,AMBIENCE#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,AMBIENCE#GENERAL,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I always go for the Pepper Lunch Express...always the best beef pepper rice upsize meal....,Pepper Lunch Express,RESTAURANT#GENERAL,positive,20,40,106:0,106,beef pepper rice,FOOD#QUALITY,positive,59,75,,,,,,,,,,,,,,,,,,,,,,,,,,,meal,FOOD#STYLE_OPTIONS,positive,83,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feel friendly,,AMBIENCE#GENERAL,positive,0,0,107:0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appetizers and soup,,,,,,108:0,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The staff...from the host to the bartender...were very lovely.,host,SERVICE#GENERAL,positive,21,25,109:0,109,bartender,SERVICE#GENERAL,positive,33,42,I appreciated their positive energy and sincereness of how much they liked their job.,,SERVICE#GENERAL,positive,0,0,109:1,,,,,,,,,,,,,,,,,,,,staff,SERVICE#GENERAL,positive,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scones are highly recommended both plain and seasonal.,Scones,FOOD#QUALITY,positive,0,6,110:0,110,,,,,,"Plus, royal milk tea cake tastes so good, not too sweet.",royal milk tea cake,FOOD#QUALITY,positive,6,25,110:1,Here is such a cute and cozy cafe in the heart of Bangkok.,cafe,RESTAURANT#GENERAL,positive,29,33,110:2,Me like :),,RESTAURANT#GENERAL,positive,0,0,110:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The stuffed pizza rawks,stuffed pizza,FOOD#QUALITY,positive,4,17,111:0,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Try anything, either sweet or salty, tastes amazing and all home made!",,FOOD#QUALITY,positive,0,0,112:0,112,,,,,,Nomnom.,,FOOD#QUALITY,positive,0,0,112:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The scallops are fantastic.,scallops,FOOD#QUALITY,positive,4,12,113:0,113,,,,,,Have a bottle of Newton Chardonnay to go with it.,Newton Chardonnay,DRINKS#QUALITY,positive,17,34,113:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the bacon.,bacon,FOOD#QUALITY,positive,8,13,114:0,114,,,,,,It costs more than usual but so worth it.,,RESTAURANT#GENERAL,positive,0,0,114:1,"Really thick cuts done at order time, great smoky taste.",taste,FOOD#QUALITY,positive,50,55,114:2,Worth the extra cost.,,RESTAURANT#GENERAL,positive,0,0,114:3,,RESTAURANT#PRICES,negative,0,0,,,,,,,,,,,cuts,FOOD#STYLE_OPTIONS,positive,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Its amazing,,RESTAURANT#GENERAL,positive,0,0,115:0,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Gyro and Baklava in town!!!,Gyro,FOOD#QUALITY,positive,5,9,116:0,116,Baklava,FOOD#QUALITY,positive,14,21,Alex is a very awesome man!!,Alex,SERVICE#GENERAL,positive,0,4,116:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee with hazelnut is intoxicating,Coffee with hazelnut,DRINKS#QUALITY,positive,0,20,117:0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of a great Taiwanese Steamboat.,Taiwanese Steamboat,RESTAURANT#GENERAL,positive,15,34,118:0,118,,,,,,Love the solid herbal soup base n the spicy soup is also jus nice.,solid herbal soup base,FOOD#QUALITY,positive,9,31,118:1,Good enought to enjoy throughout.,,FOOD#QUALITY,positive,0,0,118:2,Set back is too expensive,,RESTAURANT#PRICES,negative,0,0,118:3,spicy soup,FOOD#QUALITY,positive,38,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fried oyster sliders will change your life.,Fried oyster sliders,FOOD#QUALITY,positive,0,20,119:0,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check out the All In burger!,All In burger,FOOD#QUALITY,positive,14,27,120:0,120,,,,,,It's a burger with pulled pork.,,,,,,120:1,"Also, their potato salad is fantastic!",potato salad,FOOD#QUALITY,positive,12,24,120:2,"Ask for Caryn or Kristen, they are the best servers!",Caryn,SERVICE#GENERAL,positive,8,13,120:3,,,,,,,,,,,,,,,,,,,,,,,,,,Kristen,SERVICE#GENERAL,positive,17,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Their house-made honey-nougat ice cream really tasted much better than the commercial ice creams out there!,honey-nougat ice cream,FOOD#QUALITY,positive,17,39,121:0,121,,,,,,Hope they have a branch in Metro Manila.,,,,,,121:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the mix fruit juice.,mix fruit juice,DRINKS#QUALITY,positive,8,23,122:0,122,,,,,,It's fantastic!,,,,,,122:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The passion tea is yum!,passion tea,DRINKS#QUALITY,positive,4,15,123:0,123,,,,,,No caffeine or sugar (unless ya sweeten it!) and very refreshing.,,DRINKS#QUALITY,positive,0,0,123:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The three amigos enchiladas are GREAT!,three amigos enchiladas,FOOD#QUALITY,positive,4,27,124:0,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesdays wine and beer are 1/2 off after 3pm :) #vegas #townsquare @crazypita,wine,DRINKS#PRICES,positive,11,15,125:0,125,beer,DRINKS#PRICES,positive,20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They deliver!,,SERVICE#GENERAL,positive,0,0,126:0,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The menu...,,,,,,127:0,127,,,,,,Very cool vibe and a great dessert/coffee selection.,vibe,AMBIENCE#GENERAL,positive,10,14,127:1,,,,,,,,,,,,,,,dessert,FOOD#STYLE_OPTIONS,positive,27,34,,,,,,,,,,,,,,,,coffee,DRINKS#STYLE_OPTIONS,positive,35,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of my favourite when I come here is mee bandung.,mee bandung,FOOD#QUALITY,positive,40,51,128:0,128,,,,,,The best mee bandung in town..,mee bandung,FOOD#QUALITY,positive,9,20,128:1,Kelantanesse okay yg masak!,Kelantanesse,FOOD#QUALITY,positive,0,12,128:2,Omnomnomnom,,FOOD#STYLE_OPTIONS,positive,0,0,128:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Try the Tea Latte's, It's refreshing and calming",Tea Latte's,DRINKS#QUALITY,positive,8,19,129:0,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get ready to wait 1 hour for a bad hamburger!,hamburger,FOOD#QUALITY,negative,35,44,130:0,130,,SERVICE#GENERAL,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beat chicken wing, one of the restaurant tauke soh (woman) attitude very rude !!",chicken wing,FOOD#QUALITY,positive,5,17,131:0,131,woman,SERVICE#GENERAL,negative,52,57,When she write down ur orders her face macam tak puas,,SERVICE#GENERAL,negative,0,0,131:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nice and cosy bar, cafe!","bar, cafe",AMBIENCE#GENERAL,positive,14,23,132:0,132,"bar, cafe",RESTAURANT#GENERAL,positive,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horrible food..,food,FOOD#QUALITY,positive,9,13,133:0,133,,,,,,And service as well ..,service,SERVICE#GENERAL,negative,4,11,133:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday 8/31 wifi is slow to a halt making work unproductive.,,,,,,134:0,134,,,,,,What is up with cafes with slow wifi?,,,,,,134:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picanha show !!!!!!,Picanha,FOOD#QUALITY,negative,0,7,135:0,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect margarita will destroy you (in a good way),margarita,DRINKS#QUALITY,positive,8,17,136:0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great tapas and cheap beers...,tapas,FOOD#QUALITY,positive,6,11,137:0,137,beers,DRINKS#PRICES,positive,22,27,Oh..,,,,,,137:1,And it tasted wonderful,,FOOD#QUALITY,positive,0,0,137:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Try the Asado Beef Ribs, the Lokum Beef and the Atnep Baklava for desserts.",Asado Beef Ribs,FOOD#QUALITY,positive,8,23,138:0,138,Lokum Beef,FOOD#QUALITY,positive,29,39,,,,,,,,,,,,,,,,,,,,,,,,,,,Atnep Baklava,FOOD#QUALITY,positive,48,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great coffee, beautiful space!",coffee,DRINKS#QUALITY,positive,6,12,139:0,139,space,AMBIENCE#GENERAL,positive,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best chicken ever,chicken,FOOD#QUALITY,positive,5,12,140:0,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awesome service and affordable! 12 pieces of sashimi for ten bux!,service,SERVICE#GENERAL,positive,8,15,141:0,141,,RESTAURANT#PRICES,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,sashimi,FOOD#PRICES,positive,45,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good place to try your first coffee in Vienne.,coffee,DRINKS#QUALITY,positive,29,35,142:0,142,place,RESTAURANT#GENERAL,positive,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Enchilada was great!!!,,,,,,143:0,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Only coffee shop in area, making it crazy in AM M-F.",,AMBIENCE#GENERAL,negative,0,0,144:0,144,,,,,,Drive thru slow even on weekends.,Drive,SERVICE#GENERAL,negative,0,5,144:1,Inside usually faster but not always.,,SERVICE#GENERAL,neutral,0,0,144:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The mushroom crostini is OUT of this world.,mushroom crostini,FOOD#QUALITY,positive,4,21,145:0,145,,,,,,No joke - surpasses every other crostini we tried by a long shot.,,FOOD#QUALITY,positive,0,0,145:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't ask for a cup of water to go with your $10 purchase.,,SERVICE#GENERAL,negative,0,0,146:0,146,,,,,,"Apparently there's no time to help customers with 2 employees and 0 line, but plenty of time to worry about ""rules"" against ""free cups""",employees,SERVICE#GENERAL,negative,52,61,146:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitas are incredibly tasty but avoid the lentil soup at all costs.,Pitas,FOOD#QUALITY,positive,0,5,147:0,147,lentil soup,FOOD#QUALITY,negative,41,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They honor restaurant.com certificates everyday!,,RESTAURANT#GENERAL,positive,0,0,148:0,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gunkan Crujiente, boys! an apetizer yiu won't regret!!!",Gunkan Crujiente,FOOD#QUALITY,positive,0,16,149:0,149,apetizer,FOOD#QUALITY,positive,27,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always yummy!,,FOOD#QUALITY,positive,0,0,150:0,150,,,,,,Hilliard location as well.,,,,,,150:1,Been a customer for 10+ yrs,,,,,,150:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nice food...,food,FOOD#QUALITY,positive,5,9,151:0,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hmmm lasagna's nothing to write home about....,lasagna,FOOD#QUALITY,negative,5,12,152:0,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very very nice interior.,interior,AMBIENCE#GENERAL,positive,15,23,153:0,153,,,,,,Coffee is a little bit too light.,Coffee,DRINKS#QUALITY,negative,0,6,153:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno dough is the yummiest!,dough,FOOD#QUALITY,positive,6,11,154:0,154,,,,,,Come hungry!,,FOOD#QUALITY,positive,0,0,154:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokehouse Chop Salad - Mixed field greens tossed w/ diced Hickory-smoked chicken, spicy bacon & candied walnuts, cheddar cheese, pico de gallo, topped w/ citrus vinaigrette & freshly sliced avocado.",,,,,,155:0,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best 1/2 & 1/2's in town!,1/2 & 1/2's,DRINKS#QUALITY,positive,5,16,156:0,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can't find any place that serves the warm veal tongue here in KL!,warm veal tongue,FOOD#QUALITY,positive,41,57,157:0,157,,,,,,It is tender and taste really good!,,FOOD#QUALITY,positive,0,0,157:1,Melts in your mouth!!!,,FOOD#QUALITY,positive,0,0,157:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog friendly!!!!,,RESTAURANT#MISCELLANEOUS,positive,0,0,158:0,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you want the best Japanese Ramen restaurant, please visit Ureshii Kitchen!!",Ureshii Kitchen,RESTAURANT#GENERAL,positive,61,76,159:0,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For vegans: Get the grilled portabella vegetarian sandwich minus the cheese & mayo,grilled portabella vegetarian sandwich minus the cheese & mayo,FOOD#QUALITY,positive,20,82,160:0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the chocolate mouse - so good.,chocolate mouse,FOOD#QUALITY,positive,8,23,161:0,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The trivia games at the table-side iPads are fun by watch out!,trivia games,AMBIENCE#GENERAL,positive,4,16,162:0,162,,,,,,"You will have ""entertainment"" charges on your bill that are NOT explained on the iPad interface before you start playing the games!",,RESTAURANT#PRICES,negative,0,0,162:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
get the mexican hot chocolate here. it's something special,hot chocolate,DRINKS#QUALITY,positive,16,29,163:0,163,,DRINKS#QUALITY,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The head chef makes good eveything.,,FOOD#QUALITY,positive,0,0,164:0,164,,,,,,"Try the deserts too, great crem brule.",deserts,FOOD#QUALITY,positive,8,15,164:1,,,,,,,,,,,,,,,crem brule,FOOD#QUALITY,positive,27,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
